
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Lançamentos] Sandokan S01E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sandokan S01E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sentenced to Be a Hero S01E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Sentenced to Be a Hero S01E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Tres Gracas S01E77  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Lançamentos] Tres Gracas S01E78  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Legendada] Hudson & Rex [L] S08E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Legendada] Hudson & Rex [L] S08E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Legendada] Hudson & Rex [L] S08E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Legendada] Hudson & Rex [L] S08E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Legendada] Hudson & Rex [L] S08E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas BR] Coracao Acelerado S01E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E52  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E53  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E54  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E55  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E56  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E57  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E58  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E59  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E60  | (1ª vez: 20/01/2026 17:32)
